session_id,timestamp,symbol,price,bue,delta,signal,value_estimate,action,pnl,close_reason,equity
20250608_002833,2025-06-08 00:33:40,AVAX,20.9,21.06628805,0.7956366028708237,HOLD,20.159127320574164,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,WSTETH,3035.27,3028.78046373,-0.2138042503632269,HOLD,19.957239149927354,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,LINK,13.92,13.98969185,0.5006598419540222,HOLD,20.100131968390805,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,LEO,9.17,9.18723709,0.18797262813522428,HOLD,20.037594525627043,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:41,LINK,13.92,13.98704207,0.48162406609194974,HOLD,20.09632481321839,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,AVAX,20.9,20.91244308,0.05953626794258664,HOLD,20.011907253588518,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,XLM,0.267268,0.26573539,-0.5734356526033756,HOLD,19.885312869479325,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:41,AVAX,20.9,20.96955097,0.33277976076555815,HOLD,20.06655595215311,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,LEO,9.17,9.22387175,0.5874781897491905,HOLD,20.117495637949837,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,BCH,410.76,413.61773865,0.6957197998831404,HOLD,20.13914395997663,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:41,LEO,9.17,9.19353482,0.25665016357688186,HOLD,20.051330032715377,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,XLM,0.267268,0.26921139,0.7271315683134492,HOLD,20.14542631366269,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,TON,3.19,3.1714938,-0.5801316614420072,HOLD,19.883973667711597,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:41,XLM,0.267268,0.26690182,-0.1370085457293779,HOLD,19.972598290854123,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,BCH,410.76,411.42014724,0.1607136137890775,HOLD,20.03214272275782,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,SHIB,1.279e-05,1.276e-05,-0.23455824863174132,HOLD,19.953088350273653,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:41,BCH,410.76,413.76661431,0.731963752556245,HOLD,20.146392750511247,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,TON,3.19,3.21387435,0.7484122257053375,HOLD,20.149682445141067,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,HBAR,0.170133,0.17015437,0.012560761286753763,HOLD,20.00251215225735,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:41,TON,3.19,3.19048019,0.015052978056433026,HOLD,20.003010595611286,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,SHIB,1.279e-05,1.273e-05,-0.46911649726348265,HOLD,19.906176700547306,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,USDS,0.999669,0.99398333,-0.5687552579903924,HOLD,19.88624894840192,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:41,SHIB,1.279e-05,1.284e-05,0.39093041438624876,HOLD,20.07818608287725,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,HBAR,0.170133,0.16900143,-0.6651090617340542,HOLD,19.86697818765319,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,LTC,89.23,89.01986116,-0.23550245433150177,HOLD,19.9528995091337,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:41,HBAR,0.170133,0.16886605,-0.7446821016498955,HOLD,19.851063579670022,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,USDS,0.999669,0.99752728,-0.2142429144046693,HOLD,19.957151417119064,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,WETH,2518.32,2513.86265011,-0.17699696186347988,HOLD,19.964600607627304,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:41,USDS,0.999669,1.0070356,0.7369039151959299,HOLD,20.147380783039182,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,LTC,89.23,89.22293782,-0.007914580298112147,HOLD,19.998417083940378,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,WEETH,2693.65,2684.54322046,-0.3380832528353696,HOLD,19.932383349432925,SCAN,0,N/A,1000.0
